gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
SETD1B	168	148	268	13	707	515	703	1079
VPS33A	46	40	77	14	213	142	141	271
VPS37B	43	85	93	19	287	125	137	375
RHOF	19	21	25	8	26	70	24	157
DENR	41	49	86	8	428	231	219	418
DIAPH3	2	2	5	3	15	0	10	3
SLAIN1	16	37	17	10	35	20	4	25
RBM26	156	121	266	15	965	718	433	1407
SRRM4	22	29	19	22	2	9	17	1
MBNL2	136	96	303	10	1216	911	690	1894
RNF113B	1	3	2	6	0	13	2	0
ZIC5	3	8	9	10	0	3	2	0
ABHD13	34	33	75	12	279	261	149	339
RAB20	7	11	10	3	24	13	31	47
GRTP1	16	11	9	1	40	50	15	49
CUL4A	165	206	332	6	1213	724	685	1530
TTC6	2	10	3	5	14	14	13	10
SSTR1	8	18	17	9	15	27	22	21
CDH24	6	11	48	2	98	29	73	115
REM2	11	14	2	5	11	7	4	21
CBLN3	23	20	24	10	57	36	56	110
TSSK4	11	11	10	2	4	2	3	11
NOVA1	80	98	414	13	281	510	86	367
FITM1	0	2	0	0	0	0	0	10
MDGA2	4	10	10	8	2	2	3	0
TMX1	55	38	105	2	402	375	195	449
FRMD6	97	86	105	15	1553	414	566	693
PELI2	75	84	143	20	702	468	336	874
RTN1	15	29	22	27	38	48	18	25
C14orf37	57	57	126	21	625	247	250	528
SYT16	38	43	25	53	16	1	33	3
SLC38A6	24	41	56	20	163	88	166	165
NAA30	47	36	94	22	227	267	199	380
ADAM21	8	4	5	7	0	0	6	9
RDH12	4	2	1	4	5	4	1	1
DCAF5	155	142	249	45	939	568	537	1350
RAB15	27	42	12	24	82	31	67	66
WDR89	10	15	35	6	52	73	60	161
ESR2	29	29	20	34	22	21	33	22
KCNH5	30	55	36	47	14	9	20	2
STON2	67	92	87	30	792	418	362	545
EFCAB11	20	6	30	9	44	42	30	123
GPR65	20	24	16	12	12	5	8	1
PTGR2	39	38	28	30	130	17	65	126
JDP2	173	87	171	25	973	433	505	561
AK7	8	5	12	5	27	25	5	88
FAM181A	2	10	5	2	1	0	8	5
SLC24A4	66	110	63	43	30	7	77	10
FBLN5	142	101	236	12	670	757	302	1178
SERPINA10	17	22	7	6	2	9	5	7
C14orf79	13	12	22	1	32	22	27	61
WARS	64	48	151	4	445	216	269	613
SLC25A47	0	5	0	1	0	1	7	0
WDR20	51	57	77	30	245	133	136	280
NIPA2	20	12	47	10	123	90	102	116
SLC12A6	69	67	152	15	442	243	250	684
DUOXA1	7	6	7	7	26	18	49	57
MFAP1	125	95	177	15	782	591	444	889
TCF12	180	136	336	8	1469	922	767	1754
SORD	23	28	34	12	73	47	44	84
SERF2	282	193	575	17	2578	1660	1164	2452
ZSCAN29	82	96	127	51	379	218	229	287
DUOXA2	3	8	1	4	3	0	9	2
DUOX2	21	39	33	18	28	27	79	33
LYSMD2	10	18	29	6	76	45	56	103
SLC27A2	2	5	4	2	4	8	0	0
FGF7	201	152	206	40	1012	928	589	2347
HDC	9	19	11	8	98	60	18	94
GCNT3	14	28	8	15	14	18	6	0
BNIP2	139	170	324	37	1774	1090	846	1614
GTF2A2	15	10	17	4	93	92	33	180
SRP14	255	137	363	3	2198	1520	1049	2064
BAHD1	46	47	52	17	120	122	148	147
DISP2	26	54	25	36	11	32	22	48
CDAN1	36	38	30	8	106	95	53	221
TLE3	144	125	225	35	670	442	510	871
ANP32A	132	107	185	22	631	578	501	1080
COMMD4	28	47	51	27	172	140	88	222
UBE2Q2	89	55	152	4	738	303	367	862
PSTPIP1	145	112	60	4	507	204	366	347
ETFA	69	62	107	8	337	294	215	497
BCL2A1	1	3	1	2	3	1	0	0
HMG20A	53	65	100	19	463	291	198	574
SCAPER	110	159	208	13	852	848	350	1264
TSPAN3	138	111	191	28	1134	605	431	1031
WDR61	66	45	101	19	452	266	198	480
NCOA2	122	126	253	23	676	478	374	1120
NEIL1	50	48	46	7	177	92	114	187
MAN2C1	218	230	386	16	860	577	600	961
DNAJA4	42	50	47	23	163	123	113	123
MESDC1	79	89	103	21	388	180	217	339
TPM1	387	555	739	51	3631	1784	2407	4232
IGF1R	392	338	489	42	908	759	721	2544
ARRDC4	38	37	54	8	271	127	146	510
PIF1	9	11	12	7	10	7	6	2
USP3	62	59	102	18	385	263	205	565
CYP11A1	4	1	3	4	3	2	20	17
BBS4	28	27	57	8	225	169	93	237
PML	159	152	300	34	896	539	661	1278
CYP1A1	14	5	53	8	2	10	0	360
ADAMTS17	62	42	72	13	210	119	104	185
LINS1	32	44	56	17	58	107	59	168
ULK3	52	36	64	3	158	134	129	281
GOLGA6D	0	23	13	18	3	0	3	0
PCSK6	40	29	37	17	42	52	29	91
CCDC33	9	11	4	7	5	5	6	3
CELF6	20	27	28	5	0	20	32	58
SCAMP2	54	41	106	8	264	232	226	356
CYP1A2	3	4	0	0	1	0	7	0
LMAN1L	4	4	2	1	23	1	7	9
HAPLN3	79	38	40	12	185	124	222	210
RHCG	3	4	0	0	0	18	2	2
POLG	99	101	199	5	470	461	466	524
RLBP1	0	3	1	2	3	2	3	0
FANCI	16	22	33	19	172	116	77	74
ABHD2	352	161	466	17	1634	564	1340	1894
WDR93	8	9	4	10	0	5	16	0
TICRR	16	30	12	31	2	7	13	0
NTRK3	80	139	91	83	171	130	63	113
DET1	37	42	59	17	112	116	59	143
MFGE8	1916	467	620	15	3069	1333	3829	4713
ZNF710	49	32	37	9	114	61	106	68
UNC45A	123	92	154	14	488	447	434	603
ST8SIA2	14	13	8	20	3	4	10	0
MCTP2	43	79	66	52	72	155	27	154
FURIN	59	55	138	4	321	281	249	488
IQGAP1	1378	834	2239	16	7934	4466	4870	8918
CRTC3	101	105	178	23	639	397	431	682
EFL1	50	38	91	10	282	227	96	275
SH3GL3	1	5	0	1	0	2	4	5
SEC11A	79	102	149	30	592	642	323	957
GLYR1	73	86	142	11	573	343	349	608
PMM2	79	55	174	13	350	187	239	444
SLC5A2	13	14	10	8	35	20	13	11
ITGAX	11	38	20	18	50	19	28	50
TGFB1I1	89	72	203	14	527	170	543	444
C16orf58	127	94	170	7	358	274	382	426
ARMC5	41	51	42	14	107	54	60	133
PARN	54	31	108	1	438	231	126	481
FTO	208	206	322	90	1251	688	656	1464
UQCRC2	85	71	125	16	438	506	278	745
CDR2	150	69	133	18	467	210	440	519
IGSF6	4	11	9	5	25	30	6	41
ARHGAP17	126	141	330	19	1026	426	645	1476
MYLK3	21	33	19	16	10	8	21	5
ABCC12	9	13	19	11	16	1	8	0
NKD1	143	184	118	82	404	218	256	312
DHX38	224	229	370	16	1154	873	757	1359
TXNL4B	15	24	23	8	65	32	55	108
MARVELD3	8	11	2	10	2	6	13	23
CHST4	0	7	1	5	6	0	2	0
ZFHX3	892	664	1033	67	3214	1455	2765	3957
CLEC18B	6	4	3	0	0	13	0	12
CPNE2	77	100	147	26	598	290	319	640
NLRC5	65	54	163	18	452	250	366	671
KATNB1	26	32	38	6	80	76	76	139
KIFC3	89	54	109	7	410	208	418	375
ADAMTS18	14	9	4	5	167	43	171	126
NUDT7	3	3	3	0	6	27	6	46
GCSH	31	32	54	17	198	247	119	144
CMTM3	35	34	68	2	401	130	183	183
CDH11	223	167	187	45	2719	500	2283	1297
NOL3	40	30	48	7	118	126	154	139
MAP1LC3B	75	55	155	7	496	338	258	887
MBTPS1	229	216	361	31	1608	859	923	1590
CDH13	500	206	608	41	1543	540	1482	1880
ZCCHC14	251	174	432	27	1612	526	999	1515
TLDC1	61	67	77	36	228	141	122	333
ADAD2	18	21	7	13	4	0	12	3
OSGIN1	6	12	6	7	30	24	17	18
IRF8	22	30	19	11	143	77	52	56
RHOT2	83	61	109	10	269	181	266	381
RPL3L	5	4	5	9	2	11	2	5
ZSCAN32	27	37	27	19	109	123	63	164
RPS2	456	325	823	4	3108	2463	1864	3957
NDUFB10	84	38	106	3	645	382	245	537
PDPK1	113	126	172	31	417	274	322	773
TIGD7	27	38	32	21	105	75	83	204
DEF8	76	64	89	8	347	330	312	449
TCF25	193	215	291	14	1194	596	697	1229
GALNS	59	55	82	12	165	124	175	183
GAS8	72	57	91	16	197	195	117	282
MED9	35	49	51	23	134	96	104	100
NCOR1	401	341	673	55	2606	1558	1330	3407
COPS3	26	25	73	2	249	134	78	265
GID4	45	32	48	8	132	63	94	252
ZNF287	13	16	18	4	65	75	94	100
MYOCD	27	41	54	39	128	38	32	146
KSR1	88	98	114	33	329	263	210	480
UTP4	23	24	34	11	195	101	69	167
RANBP10	71	53	101	13	197	165	215	416
GFOD2	84	75	129	20	360	205	232	519
NOB1	61	37	92	3	250	266	143	574
PRPSAP2	27	18	34	13	101	75	135	141
UNC45B	9	15	11	11	2	0	5	0
PCTP	32	27	52	12	180	121	89	260
OR4D1	8	10	4	8	4	9	4	0
TOM1L1	16	12	22	11	42	63	6	49
KIF2B	20	38	14	12	17	1	1	0
C17orf80	35	41	65	36	216	97	92	362
TOB1	57	38	62	4	318	190	151	523
VPS53	122	152	210	44	533	287	357	828
SPATA22	4	3	8	5	7	5	0	0
SGSM2	177	148	244	23	684	397	535	703
NPEPPS	139	121	296	10	953	519	575	1158
SKAP1	5	3	2	1	7	5	3	33
LRRC46	7	4	3	5	3	0	0	0
SCRN2	23	28	60	4	91	200	112	181
SSH2	141	131	220	37	597	483	313	792
RHBDL3	17	30	17	11	24	0	15	16
ARSG	23	24	27	5	73	41	59	132
ABCA8	68	200	209	24	768	652	308	768
G6PC3	22	11	44	1	134	66	125	119
CLTC	376	347	1041	29	4669	2228	2344	3626
BCAS3	83	83	143	22	384	235	206	479
PTRH2	33	47	54	25	94	118	79	149
SS18	54	72	157	7	703	432	289	934
TAF4B	42	37	52	31	75	92	92	135
AFG3L2	98	58	124	13	798	389	241	576
PRELID3A	8	5	16	3	45	9	26	49
IMPA2	14	20	34	1	82	34	29	155
GNAL	58	74	76	16	122	112	91	189
SLC39A6	61	42	110	7	472	223	315	471
RPRD1A	71	98	150	29	516	620	319	844
C18orf21	2	10	7	0	54	41	22	78
GALNT1	61	33	94	9	737	478	426	579
ASXL3	20	39	31	40	4	21	11	27
ADCYAP1	18	24	21	16	4	8	6	0
SLC25A52	2	4	2	2	1	1	0	0
GAREM1	45	67	79	26	149	149	59	266
ESCO1	50	62	96	15	339	276	182	541
OSBPL1A	79	78	156	10	658	507	447	629
GATA6	21	33	36	23	52	26	33	74
GREB1L	22	21	12	18	7	25	7	57
C18orf8	13	19	42	0	91	75	43	122
PELP1	116	117	159	19	443	271	374	593
NPC1	110	60	152	14	484	197	271	495
SLC14A1	25	15	14	11	17	3	18	77
ARRB2	14	24	45	2	141	66	68	142
SLC13A5	25	32	18	21	1	0	22	16
ZMYND15	8	14	4	6	29	3	11	15
WRAP53	17	33	12	8	29	9	37	25
MINK1	175	164	349	7	1263	763	718	1337
SAT2	56	35	49	5	174	86	116	202
ASGR1	4	10	2	7	25	7	3	13
PIK3R5	21	31	21	16	87	52	48	57
TP53	37	31	65	3	165	104	156	299
CCDC40	33	53	34	16	117	56	88	92
ARHGDIA	305	190	473	7	1216	674	1047	1250
TMC6	29	42	59	15	131	159	86	184
SLC16A3	14	40	21	14	148	47	190	119
CARD14	10	14	12	8	26	8	23	11
TTYH2	45	33	33	7	75	64	54	86
RAB40B	42	42	33	13	94	90	64	196
EIF4A3	52	53	96	15	334	112	168	236
CSNK1D	159	167	265	21	774	469	608	818
ANAPC11	42	21	39	5	148	54	64	194
TBCD	167	198	266	28	607	467	587	971
FN3KRP	29	37	50	2	65	86	95	181
NARF	80	59	93	4	467	198	277	518
RPTOR	108	127	192	15	406	266	252	450
FOXK2	108	63	133	30	553	270	373	530
TRIM65	50	35	82	5	173	100	183	220
CBX8	13	14	12	10	33	23	85	59
SECTM1	10	14	25	0	29	40	50	89
RNF157	37	37	24	22	67	42	29	77
CEP131	58	76	82	4	199	226	186	286
ZNF750	6	16	5	10	7	16	4	32
WDR45B	69	45	100	3	438	345	203	723
CBX4	26	28	31	2	150	128	138	138
RNF165	15	49	46	19	53	78	24	172
DYM	75	71	171	12	606	418	340	839
MAPK4	20	29	21	17	12	17	10	39
ELAC1	20	10	18	5	62	35	35	100
MBD1	75	62	139	24	433	223	218	538
SMAD4	140	145	264	24	931	756	501	1398
TNFRSF11A	37	46	35	43	101	64	46	100
ZCCHC2	77	129	159	53	466	361	252	822
FBXO15	3	4	1	8	0	0	8	7
CBLN2	4	8	2	9	0	0	0	5
PMAIP1	8	13	1	8	1	4	1	5
P3H4	27	28	50	7	202	63	137	69
NT5C3B	43	20	47	4	333	127	77	272
FAM134C	69	74	135	7	410	241	280	631
ERBB2	97	85	137	14	271	393	264	482
GRB7	4	2	5	1	5	17	3	31
MIEN1	15	12	16	2	77	37	34	68
PNMT	3	3	5	0	0	7	4	12
ARL5C	15	13	5	7	3	2	7	11
STAC2	8	15	1	4	16	52	8	170
IGFBP4	343	288	788	6	3160	1498	2185	3555
FKBP10	227	90	258	5	1017	533	774	637
TXNL4A	39	32	70	18	265	121	115	197
CACNA1A	108	176	99	107	92	50	116	69
CTB-55O6.8	20	12	3	4	11	5	32	31
SAMD1	37	34	87	0	301	201	288	339
BRD4	224	241	430	11	1254	635	899	1617
SLC39A3	25	28	23	9	45	91	69	63
NFIC	654	474	1049	6	2753	1931	1786	3558
TPGS1	34	53	47	11	123	78	71	125
PLPP2	22	13	10	2	26	29	13	55
ZIM3	15	6	11	9	6	0	4	0
PRDM15	41	51	68	21	115	122	131	241
PFKL	189	185	310	16	1102	635	790	940
FEM1A	65	48	87	23	210	149	143	248
VAV1	8	20	19	5	36	34	47	75
MVB12A	14	18	44	2	106	75	89	133
SH3GL1	90	70	196	4	483	289	357	480
DUS3L	30	24	41	6	111	108	46	123
DPP9	61	65	141	8	316	301	323	408
DMRTC2	10	23	4	11	7	1	9	15
CCDC97	70	34	122	7	264	170	306	334
TMEM91	19	19	32	5	38	54	61	64
ZFP14	47	36	66	23	146	115	133	387
SIRT3	25	30	46	17	97	56	99	128
IFITM3	164	133	303	1	966	566	497	1670
ATHL1	98	96	98	11	186	201	331	462
HUNK	84	87	108	49	144	105	199	194
COL6A1	2771	1821	3746	55	12465	6519	13541	10109
IFNAR1	100	70	189	14	474	363	332	818
SOD1	204	108	350	1	1321	1407	581	2113
COL6A2	4360	1952	5274	47	20605	10094	14974	9745
SIK1	20	4	0	1	50	7	28	57
TRPM2	9	16	18	3	28	28	28	10
SCYL1	88	56	114	10	441	296	422	464
TMEM50B	51	46	93	3	473	327	286	694
APP	967	744	1364	10	6174	3181	3545	6638
DOPEY2	64	63	92	8	303	137	210	370
URB1	74	73	135	21	329	281	301	501
AKT1	143	171	238	45	883	556	678	870
IL19	6	8	5	8	0	0	2	0
EMP3	85	36	254	1	397	276	211	352
SAE1	19	24	81	8	268	172	228	345
NTN5	5	5	3	3	12	2	17	29
LMTK3	7	15	7	15	12	26	15	9
GEMIN7	9	7	16	3	26	10	9	15
WTIP	85	119	115	24	477	306	326	471
ADAMTS10	100	131	254	4	429	555	334	692
SLC6A3	4	9	4	5	0	0	8	10
RNPEPL1	66	73	139	9	269	251	246	249
CAPN10	66	60	57	33	137	116	120	204
MYO1F	22	28	49	16	111	52	65	53
ERVK3-1	40	79	115	16	359	250	166	470
NLRP12	23	40	27	17	24	19	15	1
CACNG8	78	92	43	58	55	33	48	54
ZNF787	31	22	29	8	66	93	101	116
C19orf52	16	10	15	2	74	20	27	82
FBN3	9	12	11	2	1	2	10	2
CARM1	46	56	109	6	230	180	174	317
EVI5L	25	25	29	5	187	69	96	140
SLC47A1	42	20	36	4	102	12	30	174
PSMB6	47	26	49	8	328	201	164	326
GPR32	0	5	5	2	5	0	1	0
SIGLEC10	8	18	16	5	12	3	8	6
KLK3	9	7	6	4	1	3	11	4
ZNF473	16	26	49	22	77	85	65	171
FAM71E1	6	1	2	2	1	17	0	0
RPS11	269	174	498	3	1926	2346	1255	3671
RPL13A	1460	830	1870	15	8527	10017	4708	12151
CTU1	2	4	6	2	13	18	11	15
NOSIP	48	32	40	5	165	120	133	214
IGLON5	3	2	0	0	0	12	1	2
RCN3	143	91	210	3	777	439	633	543
ZNF614	23	23	37	15	131	85	68	243
SLC2A5	29	36	23	9	68	19	29	33
RERE	491	455	698	19	2351	1550	1443	3210
MMEL1	1	1	3	0	0	10	6	9
CFAP74	13	16	11	9	4	2	10	4
PRDM16	31	58	90	22	172	85	90	122
PADI3	2	3	5	5	0	0	3	0
FHAD1	16	31	23	20	96	23	102	31
PADI1	8	27	5	17	5	0	14	0
EPHA2	43	55	58	0	223	145	216	514
ARHGEF19	7	8	5	3	25	12	41	17
EFHD2	63	55	129	4	507	225	195	410
PEX14	23	19	40	13	61	69	58	120
PGD	38	29	74	3	340	283	114	292
MYOM3	29	45	35	21	35	17	23	6
SH3BGRL3	110	74	372	4	574	322	281	744
CNKSR1	4	7	7	2	1	18	6	10
RPL11	356	260	640	3	3046	4311	1465	5608
IL22RA1	1	6	3	4	7	0	13	2
ZNF593	16	7	12	1	51	43	33	82
C1orf216	34	34	56	17	187	77	130	171
KIAA0319L	98	96	135	16	350	297	264	736
EVA1B	29	15	20	1	184	67	126	79
C1orf94	2	7	4	0	0	12	3	0
DMRTA2	3	7	6	4	0	1	12	8
PLK4	12	28	12	12	71	14	25	20
MAP3K6	72	100	256	5	376	405	301	408
FCN3	10	16	5	6	7	0	6	0
GPN2	40	29	52	14	173	72	122	214
SYTL1	2	10	5	6	8	21	8	40
WDTC1	98	63	137	6	333	210	268	523
NBPF3	24	33	57	16	156	42	97	139
HSPG2	2425	1710	4861	20	13964	6364	11802	13420
ITGB3BP	9	8	18	2	53	92	36	127
SERBP1	433	305	689	32	3152	2452	1610	4636
BCL10	32	22	52	11	139	85	93	124
CYR61	176	72	102	16	514	425	995	838
PRKACB	39	37	77	4	360	205	129	313
PIGK	35	44	87	16	436	324	164	261
TINAGL1	117	160	283	4	934	460	577	1559
AZIN2	66	57	49	26	245	119	182	188
RPS8	449	331	751	5	2228	2772	1352	5321
KIF2C	3	6	3	2	17	6	23	43
PTPRF	247	150	341	19	759	960	429	1068
BEST4	5	0	7	4	4	6	2	8
MOB3C	71	54	105	15	299	157	252	445
CYP4B1	25	53	158	3	16	184	13	267
TMEM61	0	7	1	1	0	0	7	0
DMRTB1	4	11	5	4	3	3	0	1
LMO4	46	56	76	21	431	342	207	693
SYPL2	5	7	10	4	9	15	5	30
BARHL2	5	4	1	2	1	5	2	0
MTF2	16	43	68	1	214	214	139	304
SLC44A3	3	3	10	0	84	15	71	70
IGSF3	69	59	49	31	297	127	111	168
ZNF697	19	33	30	18	78	105	48	173
CTTNBP2NL	72	103	253	23	690	585	319	937
STRIP1	78	64	84	13	203	145	126	362
KCNA10	4	7	4	5	2	1	4	0
PSMA5	30	20	81	10	176	134	167	259
FNDC7	1	1	2	7	2	1	1	0
C1orf162	4	13	14	3	40	40	10	34
CD53	6	11	24	9	33	30	27	40
CELSR2	48	55	53	29	85	100	94	213
ITGA10	238	121	100	15	339	258	649	1136
GPR161	80	85	110	57	303	175	211	205
ALDH9A1	44	35	121	2	553	500	189	687
ATP1B1	8	8	12	5	146	347	71	512
TIPRL	31	40	88	19	269	211	127	297
NME7	27	25	35	12	123	140	47	184
POGK	135	124	196	36	792	484	377	674
MPC2	11	9	27	1	151	71	70	169
CREG1	72	70	211	9	800	458	285	890
DCAF6	130	130	240	18	957	674	567	1228
GPA33	1	9	5	2	0	0	6	0
RXRG	4	7	10	1	14	13	7	49
TBX19	10	16	18	6	86	8	52	72
UCK2	59	36	63	17	212	103	162	289
TMCO1	87	65	166	18	544	552	315	725
POU2F1	121	107	170	47	686	333	300	734
MAEL	4	3	5	1	0	3	2	0
ILDR2	59	102	72	89	59	15	55	18
DPT	229	134	326	9	1565	1747	965	1846
MGST3	69	83	143	17	510	457	254	444
ADCY10	3	2	3	1	5	4	0	0
RFWD2	66	56	108	2	344	292	220	450
NECTIN4	11	12	10	6	25	47	13	107
UFC1	27	19	53	4	227	170	77	260
PPOX	17	18	28	10	68	31	51	109
FCGR2A	41	51	48	11	166	54	126	101
NUF2	4	5	3	1	2	2	0	3
RGS5	150	406	591	15	3598	3001	3375	8031
SDHC	116	126	180	51	468	392	383	1025
PFDN2	35	16	45	0	192	217	117	192
NR1I3	6	7	7	3	0	0	4	4
USP21	42	30	54	15	101	47	81	171
F13B	0	1	0	0	0	15	0	0
PRCC	35	57	69	17	204	128	136	301
FCRL5	29	33	27	45	16	0	51	9
RRNAD1	21	21	42	4	49	77	83	104
MRPL24	31	19	50	0	114	156	83	156
PIGM	33	44	58	25	101	92	100	182
CASQ1	2	3	2	2	7	9	2	5
ISG20L2	35	36	50	13	153	63	119	219
CRABP2	68	17	123	0	1477	596	757	345
HDGF	164	97	236	7	1072	631	754	981
ABL2	243	153	371	22	715	408	441	995
XPR1	64	57	118	37	350	218	186	549
RGS16	33	16	18	1	95	30	75	117
TOR1AIP1	246	144	341	32	892	681	636	1586
FAM163A	8	2	3	3	2	0	2	0
HMCN1	530	186	551	9	5688	2349	5207	5217
RGL1	161	107	235	16	1295	513	627	1012
LYPLAL1	28	11	49	5	286	207	187	385
LHX9	14	26	18	30	10	9	14	3
PRUNE	21	19	22	4	72	70	46	196
RORC	13	34	11	22	20	28	12	28
TUFT1	20	12	34	0	116	107	71	112
SF3B4	41	17	66	2	214	97	114	193
ECM1	127	40	241	10	1183	311	624	463
ZNF687	54	54	80	6	139	167	158	255
TARS2	35	26	48	5	105	80	65	172
CGN	23	18	13	14	14	100	8	101
SNX27	106	120	185	39	565	292	389	826
SETDB1	89	58	110	14	420	210	227	579
ADAMTSL4	160	184	347	7	619	530	323	537
MCL1	343	249	524	8	2117	1012	1059	2391
CTSK	188	100	255	1	3119	1145	1274	1557
RFX5	41	43	73	4	340	158	175	367
PI4KB	125	86	145	11	465	378	410	686
PIP5K1A	72	67	106	5	492	223	204	538
ANP32E	116	82	135	5	752	707	426	1211
FAM63A	47	57	100	5	226	204	146	531
ANXA9	0	1	0	0	0	0	0	12
SELENBP1	24	17	51	4	197	251	76	371
CERS2	94	83	196	12	569	337	366	853
ENSA	160	120	252	31	887	674	507	1359
AC027612.6	9	21	50	7	88	53	59	33
SEMA6C	43	42	71	7	133	119	147	275
MRPL9	20	18	51	2	136	84	71	187
ARNT	161	100	268	14	1190	731	693	1742
POGZ	261	237	408	18	1022	752	912	1995
C1orf56	14	20	14	10	13	12	19	28
OAZ3	4	8	5	13	2	6	2	7
HORMAD1	0	2	0	0	4	1	0	10
GOLPH3L	23	26	64	3	171	105	113	298
GABPB2	129	121	183	20	607	354	337	830
SYT14	24	47	46	36	7	10	8	23
KCNH1	38	39	19	35	19	4	14	35
DTL	11	25	8	12	20	3	0	10
DYRK3	22	34	45	5	78	39	46	96
EIF2D	82	74	119	17	395	324	243	589
INTS7	12	4	42	5	55	64	69	141
VASH2	46	47	48	28	54	29	55	36
TAF1A	10	11	28	1	41	57	48	83
SMYD2	65	53	62	18	100	96	90	253
SUSD4	20	12	13	10	22	34	16	14
DUSP10	12	24	15	11	31	51	3	38
HHIPL2	14	24	17	16	12	7	12	7
TP53BP2	50	67	116	22	645	232	240	586
ATP8B2	302	159	432	11	1325	574	963	1226
FLG2	36	46	43	62	6	11	37	1091
CRNN	7	12	4	3	1	13	1	0
ADAM15	173	172	451	11	1243	598	484	1594
JTB	76	39	123	4	528	252	289	646
RAB13	116	77	163	14	1275	635	409	1033
TPM3	475	301	760	29	4238	2109	1813	3340
NUP210L	7	6	5	1	5	34	8	11
SNAPIN	14	10	17	1	76	47	30	130
SLC27A3	71	86	117	23	213	206	148	377
S100A7	0	0	0	0	0	0	0	11
UBAP2L	175	182	333	7	1350	714	744	1584
SLC39A1	78	47	130	6	470	240	320	439
HAX1	63	24	78	3	193	258	102	385
CREB3L4	27	20	37	14	28	68	56	67
EFNA3	2	2	7	1	10	22	4	34
AQP10	1	2	1	4	0	0	7	0
KCNN3	59	107	115	52	147	114	170	257
C1orf43	87	39	120	5	398	464	261	564
GATAD2B	141	117	233	12	846	383	457	1147
ILF2	65	37	109	1	389	308	283	559
RIT1	42	46	94	12	403	251	206	420
INTS3	175	191	368	22	847	512	658	1632
HCN3	6	7	16	3	6	14	39	21
FLG	73	83	146	76	20	40	44	6114
C1orf131	29	22	34	14	143	66	73	185
GALNT2	110	89	252	15	655	378	489	773
TTC13	16	27	67	6	137	118	90	222
SCCPDH	43	34	62	6	192	205	101	161
LYST	190	301	763	49	1801	2142	908	3237
RP5-862P8.2	17	27	16	24	11	41	16	32
CEP170	165	190	297	70	1296	680	641	1372
ACP1	42	55	101	26	391	275	233	545
SNAP47	50	51	33	20	146	75	86	142
SRP9	75	52	167	3	671	522	420	974
NVL	12	32	49	2	289	116	95	383
SDE2	30	43	60	4	278	225	137	350
DEGS1	34	27	66	3	480	110	228	345
FBXO28	35	34	73	15	248	207	112	471
ARF1	270	165	432	6	1544	887	842	2034
LEFTY2	10	7	13	8	11	0	8	5
CNIH4	46	35	59	15	195	99	163	235
ITPKB	336	194	368	22	1671	809	929	1600
GUK1	164	116	286	6	1394	1044	684	1508
CDC42BPA	406	388	650	37	3546	1270	1801	3394
CNIH3	16	18	12	11	40	38	41	28
C1orf35	61	56	60	14	142	173	100	296
MBOAT2	54	56	73	28	265	214	137	350
PARP1	102	90	199	15	470	353	348	655
PSEN2	24	27	30	8	111	54	67	120
PYCR2	28	33	56	6	120	96	122	304
LBR	37	53	68	23	255	210	106	513
WNT9A	87	34	47	13	167	70	123	213
EPHX1	108	61	200	12	721	659	328	861
SOX13	122	143	281	14	578	434	408	1039
ETNK2	15	14	14	9	47	29	28	44
PPFIA4	16	24	14	15	161	30	97	87
PLEKHA6	37	74	18	6	194	162	53	197
PTPN7	18	31	14	18	14	8	12	3
SYT2	30	25	25	22	0	1	19	10
ARL8A	38	28	41	4	218	104	154	186
OSR1	63	111	109	14	193	135	79	118
GDF7	26	34	17	27	94	22	253	51
PDIA6	143	96	290	3	1158	466	693	1266
RHOB	371	162	392	8	604	844	678	1128
ATP6V1C2	6	12	3	6	38	38	3	55
HNRNPLL	49	33	60	4	329	273	186	379
GALM	20	11	20	8	133	90	95	164
CAMKMT	5	7	7	1	49	49	40	67
ABCG8	17	12	5	13	6	7	12	3
EML4	59	74	88	15	345	282	133	471
CALM2	320	256	696	29	3198	2699	1821	3045
CHAC2	1	1	4	3	9	4	7	20
RPS27A	409	295	828	6	3246	4543	1678	7370
WDPCP	49	77	89	30	205	175	152	260
VPS54	66	51	118	6	386	306	219	751
REG3G	8	4	4	7	1	2	12	2
ASXL2	158	215	258	83	708	532	513	1171
ETAA1	39	37	62	11	205	159	125	227
SNRPG	18	11	40	4	127	105	109	182
ABHD1	4	14	12	7	12	1	20	8
MEIS1	56	74	74	55	43	71	79	149
TRIM43B	9	9	9	8	0	0	1	0
CIAO1	95	89	144	13	501	263	343	708
ZNF514	82	75	145	21	450	481	249	818
SNRNP200	477	388	827	20	3313	1885	1876	3808
MRPS5	76	56	146	24	410	360	251	564
ANKRD53	5	5	5	5	2	16	5	1
TPRKB	16	10	32	1	102	94	42	151
NAT8	4	2	0	1	5	0	3	0
EXOC6B	151	153	315	27	992	607	470	1256
SFXN5	64	56	43	23	138	41	166	74
TEX261	67	40	94	16	260	181	232	584
DQX1	9	5	0	2	0	5	1	4
DUSP11	37	47	66	6	181	102	114	323
ST6GAL2	15	26	12	28	2	5	28	10
NPHP1	45	57	68	43	156	148	117	240
MALL	13	26	60	4	242	89	101	414
THNSL2	13	38	12	6	161	11	34	81
RALB	79	88	189	22	643	380	522	951
C1QL2	6	3	1	4	0	0	0	0
TMEM177	15	9	8	8	20	17	39	30
NT5DC4	10	12	7	4	0	6	12	1
